iter	Logloss
0	0.6928341924
1	0.6926428478
2	0.6924940765
3	0.6922276235
4	0.6920698155
5	0.6917814514
6	0.6915563665
7	0.6913791831
8	0.6911685519
9	0.6909996683
10	0.6908040674
11	0.6906712443
12	0.6905486164
13	0.69036486
14	0.6902297206
15	0.6900374924
16	0.6898367456
17	0.6896302126
18	0.6894635965
19	0.6893085536
20	0.6891626042
21	0.689023803
22	0.6888781325
23	0.6887666032
24	0.6885741706
25	0.6884139706
26	0.6882453761
27	0.6881282166
28	0.6879697283
29	0.6878386124
30	0.6876460997
31	0.6875498641
32	0.687425291
33	0.6872406759
34	0.6870650042
35	0.686874997
36	0.6866963289
37	0.6865598575
38	0.6864190203
39	0.6862854959
40	0.6861613226
41	0.6859905501
42	0.6858913258
43	0.6856881996
44	0.685554188
45	0.6853663775
46	0.6852441433
47	0.685028591
48	0.6849063348
49	0.6847440796
50	0.6846170979
51	0.6843993077
52	0.6842736989
53	0.6840894945
54	0.6839228401
55	0.6837570443
56	0.6836241476
57	0.6834945147
58	0.683374879
59	0.6832361588
60	0.6830727658
61	0.6828349579
62	0.6826851492
63	0.6825136989
64	0.6823786302
65	0.6822137577
66	0.6820735687
67	0.6818621705
68	0.6817484173
69	0.6816065385
70	0.6814216871
71	0.6812983971
72	0.6811332248
73	0.6810541639
74	0.6808844215
75	0.6808045129
76	0.6806046685
77	0.680448707
78	0.6802938967
79	0.6801072124
80	0.6799608408
81	0.6798709167
82	0.6797526856
83	0.6796372845
84	0.6795057229
85	0.6793340595
86	0.6792136635
87	0.6790558139
88	0.6789214117
89	0.6787818404
90	0.6786295135
91	0.6784761795
92	0.6782634922
93	0.678062311
94	0.6779055254
95	0.6777890637
96	0.6776889756
97	0.6775149696
98	0.677418496
99	0.677349204
100	0.6771820419
101	0.6770217886
102	0.6769291776
103	0.6768317944
104	0.6767428385
105	0.6766316761
106	0.6765125328
107	0.6763848017
108	0.6762489143
109	0.6761117154
110	0.6759945781
111	0.6758906576
112	0.6757816905
113	0.6756468043
114	0.6755265816
115	0.6753434453
116	0.6751585493
117	0.6750351798
118	0.6749159177
119	0.6747517467
120	0.6746413296
121	0.6744673521
122	0.6743446704
123	0.6741617056
124	0.6739761658
125	0.6738128438
126	0.6737135424
127	0.6736076227
128	0.673429484
129	0.6732817833
130	0.6731755209
131	0.673082926
132	0.6729889673
133	0.672854392
134	0.6726975395
135	0.6726010528
136	0.6723951303
137	0.6722638495
138	0.6721919996
139	0.6720992606
140	0.672009171
141	0.6719299247
142	0.6717085837
143	0.6715563438
144	0.6714278188
145	0.6712724046
146	0.6712170853
147	0.6710884503
148	0.6709821717
149	0.670819517
150	0.6707151825
151	0.6705943838
152	0.6704560095
153	0.6703922871
154	0.6702668509
155	0.6701341896
156	0.669997262
157	0.6699068956
158	0.6697807584
159	0.6696880639
160	0.6695768713
161	0.669414476
162	0.6693361106
163	0.669207128
164	0.6690205881
165	0.6689085815
166	0.6687645316
167	0.6685981015
168	0.6684201921
169	0.6682824439
170	0.6681088706
171	0.6679707153
172	0.6679140382
173	0.6678137572
174	0.6677090223
175	0.667523857
176	0.6674126477
177	0.6672929283
178	0.6671254892
179	0.6670099729
180	0.6668930841
181	0.6668106933
182	0.6666980975
183	0.6665492925
184	0.6664169685
185	0.6662524898
186	0.6661230203
187	0.6660050539
188	0.6658541822
189	0.665748017
190	0.665589774
191	0.6654800572
192	0.6653259874
193	0.6652018681
194	0.6650616955
195	0.6649296587
196	0.6648234148
197	0.6646543176
198	0.6645135682
199	0.6643880493
200	0.6642603316
201	0.6641075189
202	0.6639811153
203	0.663847518
204	0.6637112809
205	0.6635303134
206	0.6634329815
207	0.6633103005
208	0.6631170192
209	0.6630044348
210	0.662881177
211	0.6626822477
212	0.6625302356
213	0.6623985672
214	0.6622510357
215	0.6620525329
216	0.6618944669
217	0.6617381494
218	0.6615642254
219	0.6614420721
220	0.6612583707
221	0.66104735
222	0.6608748604
223	0.6607263761
224	0.660533002
225	0.6603679882
226	0.6602321443
227	0.6600763389
228	0.6598748365
229	0.6596870593
230	0.6595302378
231	0.6593256663
232	0.6591953088
233	0.6590707739
234	0.6588642058
235	0.658601981
236	0.6584353628
237	0.6582489736
238	0.6580759685
239	0.6578585109
240	0.6577206175
241	0.6575571894
242	0.6573518379
243	0.6572235882
244	0.6570606413
245	0.6569088712
246	0.6567502599
247	0.6566307834
248	0.6564402928
249	0.6563039228
250	0.6560658609
251	0.6559176763
252	0.655700281
253	0.6555062853
254	0.6553155574
255	0.6551361343
256	0.6549844109
257	0.6548072425
258	0.6546160008
259	0.6544503062
260	0.6542494992
261	0.6540661277
262	0.6539057419
263	0.6537233558
264	0.6535725274
265	0.6534287328
266	0.6531914185
267	0.6530179587
268	0.6529176257
